[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Tag[ view_filter ] --START--
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000366s ]
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000340s ]
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000246s ]
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000419s ]
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001509s ]
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Tag[ view_end ] --START--
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000360s ]
[ 2012-08-07T22:45:25+08:00 ] /fornu/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000418s ]
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000815s ]
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000960s ]
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Tag[ view_template ] --START--
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000810s ]
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000950s ]
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Tag[ view_parse ] --START--
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.008563s ]
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008661s ]
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Tag[ view_filter ] --START--
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000787s ]
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000859s ]
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000599s ]
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000989s ]
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003587s ]
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Tag[ view_end ] --START--
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000718s ]
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000836s ]
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001120s ]
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001318s ]
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Tag[ view_template ] --START--
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000734s ]
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000813s ]
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Tag[ view_parse ] --START--
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.005290s ]
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005363s ]
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Tag[ view_filter ] --START--
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000366s ]
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000377s ]
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000291s ]
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000429s ]
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001612s ]
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Tag[ view_end ] --START--
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000373s ]
[ 2012-08-07T22:45:26+08:00 ] /fornu/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000427s ]
[ 2012-08-07T22:45:54+08:00 ] /fornu/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-08-07T22:45:54+08:00 ] /fornu/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000484s ]
[ 2012-08-07T22:45:54+08:00 ] /fornu/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000558s ]
[ 2012-08-07T22:45:54+08:00 ] /fornu/admin.php | INFO: Tag[ view_template ] --START--
[ 2012-08-07T22:45:54+08:00 ] /fornu/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000499s ]
[ 2012-08-07T22:45:54+08:00 ] /fornu/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000554s ]
